colour	x	y	group	key	showSelectedlegendcolour	PANEL
#000000	15.8181818181818	7.53470173893334	1	2 20	0	1
#000000	15.8181818181818	-0.748778340315132	1	2 20	0	1
#000000	15.8181818181818	7.53470173893334	1	2 20	0	1
#000000	16	7.68223383328066	1	2 20	0	1
#000000	16	-0.635532333438686	1	2 20	0	1
#000000	16	7.68223383328066	1	2 20	0	1
#000000	16.1818181818182	7.83015334933704	1	2 20	0	1
#000000	16.1818181818182	-0.521511483144106	1	2 20	0	1
#000000	16.1818181818182	7.83015334933704	1	2 20	0	1
#000000	16.3636363636364	7.97845162936084	1	2 20	0	1
#000000	16.3636363636364	-0.406733104914675	1	2 20	0	1
#000000	16.3636363636364	7.97845162936084	1	2 20	0	1
#000000	16.5454545454545	8.12712030261927	1	2 20	0	1
#000000	16.5454545454545	-0.291213940216004	1	2 20	0	1
#000000	16.5454545454545	8.12712030261927	1	2 20	0	1
#000000	16.7272727272727	8.27615127284088	1	2 20	0	1
#000000	16.7272727272727	-0.174970181590965	1	2 20	0	1
#000000	16.7272727272727	8.27615127284088	1	2 20	0	1
#000000	16.9090909090909	8.42553670634642	1	2 20	0	1
#000000	16.9090909090909	-0.0580174963980724	1	2 20	0	1
#000000	16.9090909090909	8.42553670634642	1	2 20	0	1
#000000	17.0909090909091	8.57526902081436	1	2 20	0	1
#000000	17.0909090909091	0.0596289507196204	1	2 20	0	1
#000000	17.0909090909091	8.57526902081436	1	2 20	0	1
#000000	17.2727272727273	8.72534087464093	1	2 20	0	1
#000000	17.2727272727273	0.177954476554582	1	2 20	0	1
#000000	17.2727272727273	8.72534087464093	1	2 20	0	1
#000000	17.4545454545455	8.87574515685722	1	2 20	0	1
#000000	17.4545454545455	0.296944859168988	1	2 20	0	1
#000000	17.4545454545455	8.87574515685722	1	2 20	0	1
#000000	17.6363636363636	9.02647497756876	1	2 20	0	1
#000000	17.6363636363636	0.416586318773891	1	2 20	0	1
#000000	17.6363636363636	9.02647497756876	1	2 20	0	1
#000000	17.8181818181818	9.17752365888538	1	2 20	0	1
#000000	17.8181818181818	0.536865499588942	1	2 20	0	1
#000000	17.8181818181818	9.17752365888538	1	2 20	0	1
#000000	18	9.32888472631151	1	2 20	0	1
#000000	18	0.657769452623015	1	2 20	0	1
#000000	18	9.32888472631151	1	2 20	0	1
#000000	18.1818181818182	9.48055190056919	1	2 20	0	1
